Game,Sources
7 Days to Die,"G-Portal, GameServers.com, LinuxGSM"
ARK: Survival Ascended,Nitrado
ARK: Survival Evolved,"G-Portal, LinuxGSM"
ARMA 3,LinuxGSM
Abiotic Factor,Nitrado
Action Half-Life,LinuxGSM
Action: Source,LinuxGSM
Aliens vs Predator,OGP
Aloft,"G-Portal, Nitrado"
American Truck Simulator,"LinuxGSM, Nitrado"
Arma 2,OGP
Arma 2 Combined Operations,OGP
Arma 2 Operation Arrowhead,OGP
Arma 3,G-Portal
Arma Reforger,"G-Portal, LinuxGSM"
Assetto Corsa,LinuxGSM
Assetto Corsa Competizione,G-Portal
Astroneer,G-Portal
Atlas,G-Portal
Avorion,"G-Portal, LinuxGSM"
BATTALION: Legacy,LinuxGSM
Ballistic Overkill,LinuxGSM
Barotrauma,"G-Portal, LinuxGSM"
Base Defense,LinuxGSM
Battlefield 1942,LinuxGSM
Battlefield 3,G-Portal
Battlefield 4,"G-Portal, GameServers.com"
Battlefield: Vietnam,LinuxGSM
Black Mesa: Deathmatch,LinuxGSM
Blade Symphony,LinuxGSM
BrainBread 2,LinuxGSM
Brainbread,LinuxGSM
Call of Duty,LinuxGSM
Call of Duty 2,LinuxGSM
Call of Duty 4,LinuxGSM
Call of Duty: United Offensive,LinuxGSM
Call of Duty: World at War,LinuxGSM
Chivalry: Medieval Warfare,LinuxGSM
Citadel - Forged with fire,G-Portal
Codename CURE,LinuxGSM
Colony Survival,LinuxGSM
Conan Exiles,G-Portal
Core Keeper,"G-Portal, LinuxGSM"
Counter-Strike,"G-Portal, LinuxGSM"
Counter-Strike 2,"G-Portal, GameServers.com, LinuxGSM"
Counter-Strike: Condition Zero,LinuxGSM
Counter-Strike: Global Offensive,LinuxGSM
Counter-Strike: Source,"GameServers.com, LinuxGSM"
Craftopia,"G-Portal, LinuxGSM"
CryoFall,G-Portal
Day of Defeat,LinuxGSM
Day of Defeat: Source,LinuxGSM
Day of Dragons,"G-Portal, LinuxGSM"
Day of Infamy,LinuxGSM
DayZ,LinuxGSM
DayZ Mod for Arma2CO ,OGP
Dead Matter,G-Portal
Deadside,G-Portal
Deadside (Console),G-Portal
Deathmatch Classic,LinuxGSM
Don't Starve Together,"G-Portal, LinuxGSM"
Double Action: Boogaloo,LinuxGSM
Dune: Awakening,G-Portal
Dystopia,LinuxGSM
ET: Legacy,LinuxGSM
Eco,"G-Portal, LinuxGSM"
Empires Mod,LinuxGSM
Empyrion: Galactic Survival,G-Portal
Enshrouded,G-Portal
Euro Truck Simulator 2,LinuxGSM
Euro Truck Simulator 2 / American Truck Simulator,G-Portal
Factorio,"G-Portal, LinuxGSM"
Farming Simulator,G-Portal
Farming Simulator 2019,GameServers.com
Farming Simulator 2022,GameServers.com
Farming Simulator 2025,GameServers.com
Farming Simulator 25,G-Portal
Fistful of Frags,LinuxGSM
FiveM,G-Portal
Garry's Mod,G-Portal
Garry’s Mod,LinuxGSM
Ground Branch,G-Portal
HEAT,G-Portal
HYPERCHARGE: Unboxed,LinuxGSM
Half-Life 2: Deathmatch,LinuxGSM
Half-Life Deathmatch: Source,LinuxGSM
Half-Life: Deathmatch,LinuxGSM
Hell Let Loose,G-Portal
Humanitz,LinuxGSM
Hurtworld,"G-Portal, LinuxGSM"
IOSoccer,LinuxGSM
Icarus,G-Portal
Insurgency,LinuxGSM
Insurgency Sandstorm,G-Portal
Insurgency: Sandstorm,LinuxGSM
Jedi Knight II: Jedi Outcast,LinuxGSM
Just Cause 2,LinuxGSM
Just Cause 3,LinuxGSM
Killing Floor,LinuxGSM
Killing Floor 2,"G-Portal, LinuxGSM"
LEAP,G-Portal
Last Oasis,G-Portal
Left 4 Dead,LinuxGSM
Left 4 Dead 2,LinuxGSM
Life is Feudal,G-Portal
Longvinter,G-Portal
Medal of Honor: Allied Assault,LinuxGSM
Memories of Mars,LinuxGSM
Minecraft,"G-Portal, GameServers.com"
Minecraft: Bedrock Edition,LinuxGSM
Minecraft: Java Edition,LinuxGSM
Mordhau,"G-Portal, LinuxGSM"
Multi Theft Auto,LinuxGSM
Mumble,LinuxGSM
Myth of Empires,Nitrado
NS2: Combat,LinuxGSM
Natural Selection,LinuxGSM
Natural Selection 2,LinuxGSM
Necesse,LinuxGSM
No More Room in Hell,LinuxGSM
Nuclear Dawn,LinuxGSM
Onset,LinuxGSM
Operation: Harsh Doorstop,LinuxGSM
Opposing Force,LinuxGSM
Outlaws of the Old West,G-Portal
Outpost Zero,Nitrado
Palworld,"G-Portal, LinuxGSM"
Palworld Xbox,Nitrado
PaperMC,LinuxGSM
Path of Titans,"G-Portal, Nitrado"
Pavlov VR,"G-Portal, LinuxGSM"
"Pirates, Vikings, & Knights II",LinuxGSM
PixARK,Nitrado
Project CARS 2,LinuxGSM
Project Cars,LinuxGSM
Project Zomboid,"G-Portal, GameServers.com, LinuxGSM"
Quake 2,LinuxGSM
Quake 3: Arena,LinuxGSM
Quake 4,LinuxGSM
Quake Live,LinuxGSM
Quake World,LinuxGSM
Red Orchestra: Ostfront 41-45,LinuxGSM
RedM,G-Portal
Reign of Kings,G-Portal
Rem Survival,G-Portal
Return to Castle Wolfenstein,LinuxGSM
Ricochet,LinuxGSM
Rising World,LinuxGSM
Risk of Rain 2,Nitrado
Rust,"G-Portal, GameServers.com, LinuxGSM"
SCP: Secret Laboratory,"LinuxGSM, Nitrado"
SCP: Secret Laboratory ServerMod,LinuxGSM
SCUM,Nitrado
San Andreas Multiplayer,LinuxGSM
Satisfactory,"G-Portal, LinuxGSM"
Scum,G-Portal
Skyrim Together Reborn Mod,G-Portal
Soldat,LinuxGSM
Soldier of Fortune 2: Double Helix Gold,LinuxGSM
Sons Of The Forest,Nitrado
Sons of the Forest,G-Portal
Soulmask,"G-Portal, LinuxGSM"
Source Forts Classic,LinuxGSM
Space Engineers,"G-Portal, Nitrado"
Squad,"G-Portal, LinuxGSM"
Squad 44,LinuxGSM
Starbound,"G-Portal, LinuxGSM"
Stationeers,LinuxGSM
Staxel,G-Portal
StickyBots,LinuxGSM
Subsistence,"G-Portal, Nitrado"
Survive the Nights,LinuxGSM
Sven Co-op,LinuxGSM
Team Fortress 2,"LinuxGSM, Nitrado"
Team Fortress Classic,LinuxGSM
Teamspeak 3,"G-Portal, LinuxGSM"
Tebex,G-Portal
Teeworlds,LinuxGSM
TerraTech Worlds,G-Portal
Terraria,"G-Portal, LinuxGSM, Nitrado"
The Forest,"G-Portal, Nitrado"
The Front,LinuxGSM
The Isle,"G-Portal, LinuxGSM, Nitrado"
The Lord of the Rings: Return to Moria,"G-Portal, Nitrado"
The Specialists,LinuxGSM
Tinkertown,G-Portal
Tower Unite,LinuxGSM
Unreal Tournament,LinuxGSM
Unreal Tournament 2004,LinuxGSM
Unreal Tournament 3,LinuxGSM
Unreal Tournament 99,LinuxGSM
Unturned,"G-Portal, LinuxGSM, Nitrado"
Urban Terror 4,OGP
V Rising,G-Portal
Valheim,"G-Portal, GameServers.com, LinuxGSM"
Vampire Slayer,LinuxGSM
Velocity Proxy,LinuxGSM
Vintage Story,"G-Portal, LinuxGSM"
Warfork,LinuxGSM
Warsow,OGP
WaterfallMC,LinuxGSM
Wolfenstein: Enemy Territory,LinuxGSM
World Titans War,G-Portal
Wreckfest,G-Portal
Wreckfest 2,G-Portal
Wurm Unlimited,LinuxGSM
Xonotic,LinuxGSM
Zombie Master: Reborn,LinuxGSM
Zombie Panic! Source,LinuxGSM
